Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 0hr_minus_rep1	Peptides 0hr_minus_rep2	Peptides 0hr_minus_rep3	Peptides 0hr_plus_rep1	Peptides 0hr_plus_rep2	Peptides 0hr_plus_rep3	Peptides 1hr_minus_rep1	Peptides 1hr_minus_rep2	Peptides 1hr_minus_rep3	Peptides 1hr_plus_rep1	Peptides 1hr_plus_rep2	Peptides 1hr_plus_rep3	Peptides 3hr_minus_rep1	Peptides 3hr_minus_rep2	Peptides 3hr_minus_rep3	Peptides 3hr_plus_rep1	Peptides 3hr_plus_rep2	Peptides 3hr_plus_rep3	Peptides no4SU_minus_1	Peptides no4SU_minus_2	Peptides no4SU_plus_1	Peptides no4SU_plus_2	Razor + unique peptides 0hr_minus_rep1	Razor + unique peptides 0hr_minus_rep2	Razor + unique peptides 0hr_minus_rep3	Razor + unique peptides 0hr_plus_rep1	Razor + unique peptides 0hr_plus_rep2	Razor + unique peptides 0hr_plus_rep3	Razor + unique peptides 1hr_minus_rep1	Razor + unique peptides 1hr_minus_rep2	Razor + unique peptides 1hr_minus_rep3	Razor + unique peptides 1hr_plus_rep1	Razor + unique peptides 1hr_plus_rep2	Razor + unique peptides 1hr_plus_rep3	Razor + unique peptides 3hr_minus_rep1	Razor + unique peptides 3hr_minus_rep2	Razor + unique peptides 3hr_minus_rep3	Razor + unique peptides 3hr_plus_rep1	Razor + unique peptides 3hr_plus_rep2	Razor + unique peptides 3hr_plus_rep3	Razor + unique peptides no4SU_minus_1	Razor + unique peptides no4SU_minus_2	Razor + unique peptides no4SU_plus_1	Razor + unique peptides no4SU_plus_2	Unique peptides 0hr_minus_rep1	Unique peptides 0hr_minus_rep2	Unique peptides 0hr_minus_rep3	Unique peptides 0hr_plus_rep1	Unique peptides 0hr_plus_rep2	Unique peptides 0hr_plus_rep3	Unique peptides 1hr_minus_rep1	Unique peptides 1hr_minus_rep2	Unique peptides 1hr_minus_rep3	Unique peptides 1hr_plus_rep1	Unique peptides 1hr_plus_rep2	Unique peptides 1hr_plus_rep3	Unique peptides 3hr_minus_rep1	Unique peptides 3hr_minus_rep2	Unique peptides 3hr_minus_rep3	Unique peptides 3hr_plus_rep1	Unique peptides 3hr_plus_rep2	Unique peptides 3hr_plus_rep3	Unique peptides no4SU_minus_1	Unique peptides no4SU_minus_2	Unique peptides no4SU_plus_1	Unique peptides no4SU_plus_2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 0hr_minus_rep1	Identification type 0hr_minus_rep2	Identification type 0hr_minus_rep3	Identification type 0hr_plus_rep1	Identification type 0hr_plus_rep2	Identification type 0hr_plus_rep3	Identification type 1hr_minus_rep1	Identification type 1hr_minus_rep2	Identification type 1hr_minus_rep3	Identification type 1hr_plus_rep1	Identification type 1hr_plus_rep2	Identification type 1hr_plus_rep3	Identification type 3hr_minus_rep1	Identification type 3hr_minus_rep2	Identification type 3hr_minus_rep3	Identification type 3hr_plus_rep1	Identification type 3hr_plus_rep2	Identification type 3hr_plus_rep3	Identification type no4SU_minus_1	Identification type no4SU_minus_2	Identification type no4SU_plus_1	Identification type no4SU_plus_2	Sequence coverage 0hr_minus_rep1 [%]	Sequence coverage 0hr_minus_rep2 [%]	Sequence coverage 0hr_minus_rep3 [%]	Sequence coverage 0hr_plus_rep1 [%]	Sequence coverage 0hr_plus_rep2 [%]	Sequence coverage 0hr_plus_rep3 [%]	Sequence coverage 1hr_minus_rep1 [%]	Sequence coverage 1hr_minus_rep2 [%]	Sequence coverage 1hr_minus_rep3 [%]	Sequence coverage 1hr_plus_rep1 [%]	Sequence coverage 1hr_plus_rep2 [%]	Sequence coverage 1hr_plus_rep3 [%]	Sequence coverage 3hr_minus_rep1 [%]	Sequence coverage 3hr_minus_rep2 [%]	Sequence coverage 3hr_minus_rep3 [%]	Sequence coverage 3hr_plus_rep1 [%]	Sequence coverage 3hr_plus_rep2 [%]	Sequence coverage 3hr_plus_rep3 [%]	Sequence coverage no4SU_minus_1 [%]	Sequence coverage no4SU_minus_2 [%]	Sequence coverage no4SU_plus_1 [%]	Sequence coverage no4SU_plus_2 [%]	Intensity	Intensity 0hr_minus_rep1	Intensity 0hr_minus_rep2	Intensity 0hr_minus_rep3	Intensity 0hr_plus_rep1	Intensity 0hr_plus_rep2	Intensity 0hr_plus_rep3	Intensity 1hr_minus_rep1	Intensity 1hr_minus_rep2	Intensity 1hr_minus_rep3	Intensity 1hr_plus_rep1	Intensity 1hr_plus_rep2	Intensity 1hr_plus_rep3	Intensity 3hr_minus_rep1	Intensity 3hr_minus_rep2	Intensity 3hr_minus_rep3	Intensity 3hr_plus_rep1	Intensity 3hr_plus_rep2	Intensity 3hr_plus_rep3	Intensity no4SU_minus_1	Intensity no4SU_minus_2	Intensity no4SU_plus_1	Intensity no4SU_plus_2	iBAQ	iBAQ 0hr_minus_rep1	iBAQ 0hr_minus_rep2	iBAQ 0hr_minus_rep3	iBAQ 0hr_plus_rep1	iBAQ 0hr_plus_rep2	iBAQ 0hr_plus_rep3	iBAQ 1hr_minus_rep1	iBAQ 1hr_minus_rep2	iBAQ 1hr_minus_rep3	iBAQ 1hr_plus_rep1	iBAQ 1hr_plus_rep2	iBAQ 1hr_plus_rep3	iBAQ 3hr_minus_rep1	iBAQ 3hr_minus_rep2	iBAQ 3hr_minus_rep3	iBAQ 3hr_plus_rep1	iBAQ 3hr_plus_rep2	iBAQ 3hr_plus_rep3	iBAQ no4SU_minus_1	iBAQ no4SU_minus_2	iBAQ no4SU_plus_1	iBAQ no4SU_plus_2	LFQ intensity 0hr_minus_rep1	LFQ intensity 0hr_minus_rep2	LFQ intensity 0hr_minus_rep3	LFQ intensity 0hr_plus_rep1	LFQ intensity 0hr_plus_rep2	LFQ intensity 0hr_plus_rep3	LFQ intensity 1hr_minus_rep1	LFQ intensity 1hr_minus_rep2	LFQ intensity 1hr_minus_rep3	LFQ intensity 1hr_plus_rep1	LFQ intensity 1hr_plus_rep2	LFQ intensity 1hr_plus_rep3	LFQ intensity 3hr_minus_rep1	LFQ intensity 3hr_minus_rep2	LFQ intensity 3hr_minus_rep3	LFQ intensity 3hr_plus_rep1	LFQ intensity 3hr_plus_rep2	LFQ intensity 3hr_plus_rep3	LFQ intensity no4SU_minus_1	LFQ intensity no4SU_minus_2	LFQ intensity no4SU_plus_1	LFQ intensity no4SU_plus_2	MS/MS count 0hr_minus_rep1	MS/MS count 0hr_minus_rep2	MS/MS count 0hr_minus_rep3	MS/MS count 0hr_plus_rep1	MS/MS count 0hr_plus_rep2	MS/MS count 0hr_plus_rep3	MS/MS count 1hr_minus_rep1	MS/MS count 1hr_minus_rep2	MS/MS count 1hr_minus_rep3	MS/MS count 1hr_plus_rep1	MS/MS count 1hr_plus_rep2	MS/MS count 1hr_plus_rep3	MS/MS count 3hr_minus_rep1	MS/MS count 3hr_minus_rep2	MS/MS count 3hr_minus_rep3	MS/MS count 3hr_plus_rep1	MS/MS count 3hr_plus_rep2	MS/MS count 3hr_plus_rep3	MS/MS count no4SU_minus_1	MS/MS count no4SU_minus_2	MS/MS count no4SU_plus_1	MS/MS count no4SU_plus_2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
1765	888	7735	1119	4514	7877	1	3	3	3	0	0	2	0	0	1	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	4	4	4	100	892	6086	0	6	4450	6340	5104	9933	9439	5899	4077	8704	3551	94	6406	9356	616	3734	171	2753	3817	8009	2227	4236	4205	808	0	0	3	0	0	2	0	0	3	0	0	2	0	0	3	0	0	0	0	0	0	0	17213746	0	0	6762527	0	0	1180884	0	0	882080	0	0	3381411	0	0	8060969	0	0	0	0	0	0	0	451770	0	0	116955	0	0	206064	0	0	91026	0	0	1148	0	0	59013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	703349	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	5930	8451	9950	375	7924	6886	7814	3488	5187	324	233	4974
8214	5471	1136	4336	2796	9054	3	43	43	42	23	8	28	24	14	20	27	10	26	21	13	27	29	15	32	26	13	20	2	0	2	2	23	8	28	24	14	20	27	10	26	21	13	27	29	15	32	26	13	20	2	0	2	2	22	7	28	23	13	20	26	9	26	20	12	27	28	14	32	25	13	20	2	0	2	2	43	43	42	140	1230	1465	0	139	7463	1634	5034	4488	4684	2638	947	4881	4525	6297	9353	8406	1640	6428	6126	4668	6102	5093	7960	8028	4192	5192	23	9	28	25	15	20	26	11	28	22	14	28	29	16	32	26	12	23	2	0	2	1	2053161728	110502193	16711815	320220176	78308748	35138245	71380663	82666259	20320317	180923587	51708897	54362209	377090738	86214549	29664681	375380320	73899127	33641544	64621939	3191272	0	2127519	923876	35962225	1829289	210263	5196587	1299867	648629	1049161	1244278	413907	2825124	889763	972773	6146682	1413492	382492	6352259	1354210	685029	1106424	55320	0	48832	45558	13478718	9426103	22366270	10373172	9295077	14129458	10258399	8354179	26606220	10776278	13227144	33547440	10042375	9054336	29506248	8974644	8464076	15576427	4981054	0	6334523	1535253	17	5	23	15	9	9	17	3	21	14	8	24	15	9	26	16	9	10	1	0	2	0	253	2719	7195	3270	376	545	3877	6302	158	751	4705	8960	4121
2946	2390	5536	2123	9544	3316	2	16	16	16	3	0	8	4	5	9	2	1	11	4	2	10	4	2	11	3	4	5	0	0	0	0	3	0	8	4	5	9	2	1	11	4	2	10	4	2	11	3	4	5	0	0	0	0	3	0	8	4	5	9	2	1	11	4	2	10	4	2	11	3	4	5	0	0	0	0	14	14	14	208	1868	1507	0	29	3175	6860	1273	8145	4794	5863	7034	2085	1529	1201	4033	8597	209	6237	5431	8596	6921	9435	3015	1079	7052	8838	2	0	8	3	4	8	2	1	10	4	2	8	3	1	9	3	3	4	0	0	0	0	195042019	4542695	0	32610055	993082	6263005	17204065	1533596	2424507	31080612	2793129	1397486	48490343	5184324	2509801	31491341	2765032	960532	5828279	0	0	0	0	2306009	42817	0	551595	34496	271354	1614	87696	183622	433891	172024	82799	452910	47490	162347	479782	46310	158988	93658	0	0	0	0	1098585	0	1316336	768465	2241784	2145741	1403781	0	3328592	1570605	1231393	2296333	2148891	2445010	1494785	1345510	712780	952243	0	0	0	0	1	0	5	1	5	4	1	0	8	3	0	6	1	1	7	1	0	1	0	0	0	0	44	9686	9134	1410	377	4353	6408	9801	8772	3752	6214	6838	6408
695	4564	5252	5715	261	1913	1	2	2	2	1	0	2	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	2	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	2	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	6	6	6	59	518	4716	0	6	7271	6434	6622	9164	1001	2052	1159	6140	7183	8077	5591	1719	1356	5890	5174	7285	1375	3866	1605	2866	5203	9793	3	0	6	3	0	0	3	0	3	3	3	3	3	0	3	3	3	0	0	0	0	0	26560153	1381234	0	16097024	2970035	0	0	1814398	0	1678572	659920	987616	0	3552503	0	18224436	1130198	3725450	0	0	0	0	0	1319663	131452	0	523355	64131	0	0	64798	0	52088	97353	17974	0	126300	0	602615	285962	309541	0	0	0	0	0	0	0	474704	0	0	0	0	0	881320	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	11	1290	5693	7984	378	9319	1740	436	8099	3731	191	5986	7720
9990	4189	8770	1978	3178	2735	1	4	4	4	3	0	2	2	0	1	3	0	1	2	1	1	2	0	1	2	2	0	0	0	0	0	3	0	2	2	0	1	3	0	1	2	1	1	2	0	1	2	2	0	0	0	0	0	3	0	2	2	0	1	3	0	1	2	1	1	2	0	1	2	2	0	0	0	0	0	12	12	12	70	613	2676	0	7	5415	780	4407	6170	8940	1389	2865	3145	3008	182	1974	1785	3727	5674	4949	5407	8213	4844	4067	6659	2340	2781	8	0	8	5	0	3	8	0	3	5	3	3	5	0	3	5	5	0	0	0	0	0	98517555	19763168	0	6572636	7633712	0	2456352	11969227	0	3561745	2979860	873295	2180912	8977698	0	699894	6342644	3304800	0	0	0	0	0	3101047	577354	0	328007	255467	0	62227	441369	0	13200	125303	147289	29549	300369	0	73068	312439	175788	0	0	0	0	0	1588583	0	989235	1443473	0	477222	1470697	0	375257	581182	488341	529875	1592809	0	236701	973029	916709	0	0	0	0	0	4	0	3	3	0	0	2	0	1	2	0	1	3	0	1	2	0	0	0	0	0	0	20	4188	8813	7041	379	3197	4313	1068	7911	3521	6960	2758	4638
1786	5240	4452	2775	7956	5615	1	27	27	27	18	3	20	13	2	7	13	4	7	16	5	9	14	2	14	13	9	7	1	1	0	1	18	3	20	13	2	7	13	4	7	16	5	9	14	2	14	13	9	7	1	1	0	1	18	3	20	13	2	7	13	4	7	16	5	9	14	2	14	13	9	7	1	1	0	1	30	30	30	136	1196	6638	0	62	3268	2430	7413	6676	949	1935	5558	3873	8139	8862	1822	4076	5110	9236	1356	5775	2235	9711	715	623	5733	4571	20	3	23	13	2	8	14	4	9	18	6	9	15	2	16	14	12	7	1	1	0	1	929497938	103569791	5877875	232081606	50094497	4625301	22449226	58031935	8616899	30339050	58146128	18692214	50564418	71520597	7844187	94206598	52496575	28354011	19505218	691862	417965	0	213788	14500329	1614869	35596	3395131	767150	21667	280572	763533	299746	616521	680729	452284	955520	1108250	57428	1460744	614931	381767	340520	8919	10688	0	83646	11481936	5035042	11064388	7107572	3194786	3889959	7568900	6940041	5049344	10317923	4845837	7025106	9543360	4372214	6221486	6660855	7008612	4045154	0	0	0	0	12	1	20	7	2	0	8	1	3	9	2	6	10	1	5	6	5	1	0	0	0	0	100	3516	1639	1779	380	7979	9346	6816	6328	274	5288	480	5600
6940	2941	4159	1807	1911	8216	1	35	35	35	7	6	18	7	5	15	4	3	17	8	3	23	7	10	26	11	10	17	1	1	0	2	7	6	18	7	5	15	4	3	17	8	3	23	7	10	26	11	10	17	1	1	0	2	7	6	18	7	5	15	4	3	17	8	3	23	7	10	26	11	10	17	1	1	0	2	24	24	24	248	2213	5726	0	127	8959	698	4254	8411	6073	7429	6852	9588	6694	5654	9673	7218	897	2135	4162	1934	2272	8806	8950	4598	4247	4573	5	4	12	4	3	9	2	1	12	5	2	14	4	6	16	7	6	10	1	1	0	1	853385652	23259687	7117240	114314422	15961347	10368265	41570547	14643843	4228084	78131464	17936278	8596737	136364822	22128318	17144453	240459614	29577922	37538683	51591427	609238	248956	0	2378037	9102920	184634	161677	961227	124732	191586	298347	278387	178289	741971	312890	35388	1213284	179827	190528	1893248	342519	171468	534310	20681	3696	0	141763	3183670	4120836	6636785	2961718	4758363	9118233	2929954	3335665	10322722	3094451	3659454	13203280	4098149	6293316	16934955	4789324	6012132	12378403	0	0	0	4611333	4	4	8	6	3	10	1	1	7	5	2	17	3	7	20	10	8	10	0	0	0	0	124	2430	3225	1037	381	5327	9857	2542	7821	8065	2225	4878	9270
9397	1185	3761	571	8047	2666	1	1	1	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	1	1	106	931	8466	0	2	7784	6325	72	8631	9443	4473	9860	3003	803	4226	845	93	1255	8282	2526	4145	1173	1032	8069	473	9128	355	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	4271125	0	0	543255	0	0	0	564794	0	0	2438405	1153089	0	1925040	0	7816364	2549626	1592111	0	0	0	0	0	822847	0	0	8559	0	0	0	56196	0	0	76369	59593	0	6806	0	177257	119600	62893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310904	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	8	3090	9551	3223	382	620	6591	4793	7649	3219	6802	119	2744
236	8450	1655	7528	9405	7762	1	11	11	11	9	1	6	7	1	4	8	3	4	8	4	5	8	3	6	9	5	3	0	1	0	1	9	1	6	7	1	4	8	3	4	8	4	5	8	3	6	9	5	3	0	1	0	1	9	1	6	7	1	4	8	3	4	8	4	5	8	3	6	9	5	3	0	1	0	1	39	39	39	38	337	3802	0	59	2149	6598	3857	3632	1546	6731	5891	2251	6815	9807	5609	3392	3821	3547	9725	6076	4682	9418	3001	5006	6005	5457	32	6	22	25	7	17	27	12	17	28	15	19	28	12	22	33	21	10	0	7	0	6	993283201	113983069	3914726	137978443	74333215	8965720	30315193	78106640	11579301	50096463	66770778	49262860	39773456	78562781	13293841	43151022	91086643	63330969	12860165	0	1458027	0	214465	49313508	5643790	137384	6810689	3681799	373866	1284544	3946851	480457	2555782	3303372	2293657	2003701	3981555	622054	2997465	4722184	2891983	864568	0	30870	0	23561	12966611	0	8588988	11280756	3872405	8363897	10951414	6860108	6763267	10400539	8850008	3195186	10870622	9205112	4204347	12329278	10910949	5780709	0	0	0	0	11	1	6	5	1	5	4	1	3	5	2	2	7	2	3	6	5	1	0	0	0	1	70	1457	5817	7012	383	7147	2977	3951	7623	1918	6466	3768	5647
3366	9854	2193	4497	7759	451	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	3	3	4	33	289	4873	0	3	6839	9895	6519	8341	3873	1437	9999	7721	7882	4295	136	8160	6768	6701	8784	139	9358	2999	6430	5928	9881	4439	4	4	3	3	3	3	3	4	3	3	4	3	4	4	3	4	4	3	0	3	0	4	149743149	10025626	1620511	20942385	6150225	1675121	9554489	6874529	2255865	1493961	4204766	5070885	8645323	7313171	1799442	22250347	5870978	5779185	7380747	0	1681623	0	962245	8902745	764976	172342	1268316	433582	123223	525365	467699	21488	287210	516489	428372	743812	438940	180616	1121898	255051	580149	329039	0	34948	0	245893	0	0	1437683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	18	7679	9780	2216	384	1068	248	7960	789	3072	4722	1288	8111
6752	926	5861	4761	561	7628	1	3	3	3	1	0	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	7	7	7	64	567	8523	0	5	8536	2855	6746	5475	664	2616	5464	7154	2071	2709	9000	2584	619	3035	4209	8846	8624	5610	6068	1895	4568	512	1	0	5	0	0	3	0	0	3	0	0	3	0	0	3	0	0	3	0	0	0	0	59645966	0	0	12729131	0	0	6057667	0	0	13959459	0	0	4340682	0	0	9576798	0	0	7415858	0	0	0	0	2429397	0	0	556833	0	0	164269	0	0	660492	0	0	376775	0	0	304210	0	0	282692	0	0	0	0	0	0	1057629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3039	6310	3966	385	2526	708	2901	399	5262	3773	7226	9214
1884	3429	1103	5229	6401	6119	1	8	8	8	5	0	4	4	0	1	5	0	2	2	0	1	5	0	0	5	0	1	0	0	0	1	5	0	4	4	0	1	5	0	2	2	0	1	5	0	0	5	0	1	0	0	0	1	5	0	4	4	0	1	5	0	2	2	0	1	5	0	0	5	0	1	0	0	0	1	33	33	33	30	258	3228	0	16	5465	1153	9995	7855	2029	7789	7700	1427	8331	4914	5186	8784	5601	7146	467	6908	9074	5801	9122	2359	9564	4666	17	0	16	17	0	4	24	0	8	7	0	4	24	0	0	17	0	4	0	0	0	4	181216047	23600740	0	48464201	14503745	0	3154118	20140481	0	22137934	7002539	0	10701214	10996778	0	0	11459981	0	2731008	0	0	0	1733179	14748931	2169047	0	4356745	1298502	0	281586	1931442	0	1981246	562884	0	974310	1132536	0	0	1078109	0	168160	0	0	0	35756	2908769	0	3320202	2165220	0	0	2620273	0	2449900	2361930	0	1736931	1775240	0	0	1921130	0	0	0	0	0	0	3	0	5	3	0	0	5	0	2	1	0	1	3	0	0	2	0	0	0	0	0	0	24	372	6254	4794	386	8846	2344	1749	2731	8167	8242	8901	6183
1245	9788	796	6468	5659	6004	1	10	10	10	5	3	6	6	4	5	5	4	5	5	6	7	5	4	6	4	5	5	0	0	0	2	5	3	6	6	4	5	5	4	5	5	6	7	5	4	6	4	5	5	0	0	0	2	5	3	6	6	4	5	5	4	5	5	6	7	5	4	6	4	5	5	0	0	0	2	12	12	12	120	1094	1805	0	32	8227	304	9677	4248	9104	8689	2280	6760	7580	4126	4063	4919	4588	7769	5788	9195	6930	7	5849	8536	2914	1339	6	4	7	8	5	6	6	6	6	7	8	8	6	6	7	6	7	6	0	0	0	3	440487630	24364004	10338671	67912811	29181236	10823512	22655397	23782649	9017603	24032336	23771450	32783204	36394150	15905438	6251398	43720814	17948054	22753978	21431157	0	0	0	1460300	12409417	672251	308281	1661291	762842	457118	564146	553276	288627	513913	673246	839774	983884	427305	210070	1003030	530943	778909	460708	0	0	0	187844	2979488	5294001	2707447	3153198	3716667	3851067	3684589	3744181	3121291	3828728	5529750	2019911	3210970	2833730	2660466	3116772	3392458	2602515	0	0	0	1932121	5	3	8	5	4	4	3	1	7	3	7	5	6	1	6	6	4	6	0	0	0	0	84	7541	6216	2801	387	4526	3301	8690	5915	7307	9460	3244	4426
9939	5483	7140	8864	5357	7904	1	7	7	7	2	1	6	2	1	3	2	0	6	2	2	4	3	0	6	3	1	3	1	0	1	0	2	1	6	2	1	3	2	0	6	2	2	4	3	0	6	3	1	3	1	0	1	0	2	1	6	2	1	3	2	0	6	2	2	4	3	0	6	3	1	3	1	0	1	0	10	10	10	137	1267	544	0	13	2807	5684	1708	3475	5185	2352	8417	8846	1926	9028	7603	6496	5593	1401	2944	7064	2661	7254	1993	980	5045	3805	3	1	9	3	1	4	3	0	9	3	3	5	5	0	9	5	1	4	1	0	1	0	206530503	8885584	640032	18503146	8396616	1817504	21236545	7715950	0	36488598	3297577	5916507	28849338	7478779	0	12946847	7006569	501797	18576062	886734	0	350587	0	7565022	285568	41334	732393	201899	240281	610592	287761	0	1237529	69988	314694	726116	247343	0	625529	286039	77290	596704	3744	0	3534	0	1308557	0	1728376	1906352	0	2848253	1037901	0	3123663	1353534	1020862	1395813	1878839	0	2142078	1077361	0	2361113	0	0	0	0	3	0	4	1	0	2	2	0	2	1	1	2	2	0	2	2	0	0	0	0	0	0	23	8244	4500	8547	388	9025	3392	4051	4392	2311	3937	525	838
8166	8137	2111	8818	5418	2105	1	12	12	10	6	0	10	5	1	3	4	0	4	4	1	6	5	0	8	4	2	3	0	0	0	0	6	0	10	5	1	3	4	0	4	4	1	6	5	0	8	4	2	3	0	0	0	0	5	0	8	4	1	2	4	0	3	4	1	4	4	0	6	4	1	1	0	0	0	0	20	20	16	81	718	5838	0	20	2168	1436	9320	2219	80	1364	7203	5566	1541	2939	4902	8204	5086	8247	7211	6563	7490	642	7670	4303	7761	7751	9	0	19	7	1	6	4	0	8	4	1	11	7	0	15	4	4	5	0	0	0	0	511752981	45295578	0	95147067	31937807	1510738	10005067	26753455	0	14656425	30528869	124265710	27078247	37050632	0	38374696	28132429	4479844	3062834	0	0	0	0	14285933	1369045	0	2707713	1044271	81577	274593	678640	0	629091	782755	3656594	814228	1079987	0	1309278	955521	288351	78617	0	0	0	0	4261347	0	10810639	3323949	0	4789165	2657794	0	4037894	3260449	0	3187294	3937852	0	5508875	3881749	0	1561801	0	0	0	0	4	0	12	3	0	2	2	0	2	2	0	3	4	0	3	2	1	1	0	0	0	0	41	9199	6799	8775	389	3703	955	1152	8120	3538	7066	7087	806
9646	9684	4155	4331	3602	6326	1	29	29	29	5	3	18	3	3	14	5	0	20	6	2	20	5	4	20	7	5	15	0	1	0	0	5	3	18	3	3	14	5	0	20	6	2	20	5	4	20	7	5	15	0	1	0	0	5	3	18	3	3	14	5	0	20	6	2	20	5	4	20	7	5	15	0	1	0	0	24	24	24	195	1721	1085	0	62	3940	2034	7608	581	8412	8551	4056	502	4544	6958	9682	4276	3221	4063	9459	9238	5264	4409	5009	8123	5758	6177	4	2	15	3	4	12	4	0	17	5	2	15	4	4	17	6	4	12	0	1	0	0	557064418	9235842	6491270	106349173	3779318	3693705	35105405	5987568	0	80269104	7282352	119284	116466381	10262248	4730958	106608810	10700512	9912089	40414399	0	233115	0	0	6007479	100031	204523	1113218	47318	11264	443446	153768	0	865247	101011	179160	1113544	107172	152924	1347490	166585	255669	455217	0	515	0	0	2294327	3175599	6434777	913042	921301	6802647	1324049	0	14861084	2800005	0	10281973	2371998	2977809	9671902	3090224	1554256	6014307	0	0	0	0	2	0	11	1	0	5	2	0	15	3	1	11	3	1	16	7	0	6	0	0	0	0	83	9376	3290	2701	390	2083	6673	616	5237	5281	5303	7948	1788
7064	5030	7251	8155	3129	82	1	3	3	3	0	2	2	1	2	2	0	1	2	2	2	2	0	1	2	2	2	2	0	2	0	1	0	2	2	1	2	2	0	1	2	2	2	2	0	1	2	2	2	2	0	2	0	1	0	2	2	1	2	2	0	1	2	2	2	2	0	1	2	2	2	2	0	2	0	1	1	1	1	378	3334	6197	0	2	9020	4362	8373	1407	9978	1537	1606	1164	2154	4086	7046	4427	9739	9860	8967	5673	3301	7224	9374	985	9936	3361	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	950671128	0	10137892	109593987	7492376	7194271	89781053	0	6814984	73782919	9896441	15766968	93237214	0	2796274	93958724	14295099	23499985	220630311	0	134462377	0	33605467	6358690	0	13348	572442	39367	112260	471374	0	58198	451352	251080	33404	666196	0	89285	547118	18927	227175	1127368	0	710327	0	276306	0	0	21106942	0	0	28701099	0	0	19511351	6171105	0	22779896	0	0	22830075	6341256	8693651	41259301	0	83533026	0	0	0	3	1	0	0	1	0	0	3	1	1	1	0	0	0	2	1	1	0	2	0	1	18	8925	4981	7287	391	1460	3885	8470	5955	8876	5868	4544	4883
